file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-209,CWE-614",759.0,0.001127115,0.0,0.0,324.0,0.0014774399999999,0.0026045549999999,4.4813385009765625
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73,CWE-16,CWE-209,CWE-614,CWE-404",650.0,0.00096525,0.0,0.0,370.0,0.0016871999999999,0.0026524499999999,5.423161029815674
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-79,CWE-22,CWE-200,CWE-312,CWE-1004",937.0,0.001391445,0.0,0.0,478.0,0.00217968,0.003571125,6.422481298446655
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-321,CWE-329,CWE-117,CWE-20",877.0,0.001302345,0.0,0.0,443.0,0.00202008,0.003322425,6.997206687927246
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-200,CWE-114,CWE-20",505.0,0.000749925,0.0,0.0,280.0,0.0012768,0.002026725,5.005509376525879
BenchmarkTest00007.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-209",472.0,0.00070092,0.0,0.0,312.0,0.0014227199999999,0.0021236399999999,4.972910404205322
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-20,CWE-209",476.0,0.00070686,0.0,0.0,296.0,0.00134976,0.00205662,4.284734725952148
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,"CWE-113,CWE-73,CWE-116,CWE-321,CWE-404,CWE-331",909.0,0.001349865,0.0,0.0,391.0,0.0017829599999999,0.0031328249999999,4.942231893539429
BenchmarkTest00010.java,0,0,CWE-330,,,0,0,1,0,CWE-200,817.0,0.001213245,0.0,0.0,392.0,0.0017875199999999,0.003000765,4.874285697937012
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-209",458.0,0.00068013,0.0,0.0,338.0,0.00154128,0.00222141,4.816269874572754
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-209,CWE-20,CWE-79",827.0,0.001228095,0.0,0.0,343.0,0.00156408,0.002792175,4.48700475692749
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-134,CWE-113,CWE-79,CWE-16",395.0,0.000586575,0.0,0.0,310.0,0.0014135999999999,0.002000175,4.172057867050171
BenchmarkTest00014.java,1,0,CWE-79,,,0,0,0,1,"CWE-113,CWE-134",388.0,0.00057618,0.0,0.0,264.0,0.0012038399999999,0.0017800199999999,4.034703493118286
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,518.0,0.00076923,0.0,0.0,296.0,0.00134976,0.00211899,4.43471622467041
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,CWE-113,592.0,0.00087912,0.0,0.0,355.0,0.0016187999999999,0.00249792,4.50704288482666
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-209,CWE-20",491.0,0.000729135,0.0,0.0,257.0,0.00117192,0.001901055,4.195383787155151
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209,CWE-20,CWE-598",480.0,0.0007128,0.0,0.0,290.0,0.0013223999999999,0.0020352,4.462650537490845
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-321,CWE-117",829.0,0.001231065,0.0,0.0,434.0,0.0019790399999999,0.0032101049999999,5.675279140472412
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-22,CWE-200",1212.0,0.00179982,0.0,0.0,369.0,0.0016826399999999,0.0034824599999999,5.373262166976929
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,CWE-90,759.0,0.001127115,0.0,0.0,295.0,0.0013451999999999,0.0024723149999999,4.312116384506226
BenchmarkTest00022.java,0,0,CWE-328,,,0,0,1,0,"CWE-732,CWE-200,CWE-862",704.0,0.00104544,0.0,0.0,422.0,0.00192432,0.00296976,5.472559928894043
BenchmarkTest00023.java,1,0,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-384",708.0,0.00105138,0.0,0.0,271.0,0.00123576,0.00228714,3.60432505607605
BenchmarkTest00024.java,1,0,CWE-89,CWE-89,1,1,0,0,0,CWE-89,511.0,0.000758835,0.0,0.0,292.0,0.0013315199999999,0.002090355,4.3178675174713135
