model,prompting_type,cwe,direct_match_percentage,tp,fp,tn,fn,accuracy,precision,recall,f1,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
gemini-2.5-flash,few-shot,CWE-328,0.0182,84,26,81,45,0.6992,0.7636,0.6512,0.7029,1339.0381,3622.1059,8.7203,0.0095,2.2370,18.1473,0
gemini-2.5-flash,few-shot,CWE-327,1.0000,67,37,79,63,0.5935,0.6442,0.5154,0.5726,1558.5163,3559.0447,12.0691,0.0094,2.3113,17.8916,0
gemini-2.5-flash,few-shot,CWE-78,0.9942,125,46,79,1,0.8127,0.7310,0.9921,0.8418,1008.6653,2609.2231,4.2470,0.0068,1.7159,12.7895,0
gemini-2.5-flash,few-shot,CWE-89,1.0000,272,42,190,0,0.9167,0.8662,1.0000,0.9283,1009.9266,2061.2778,8.6409,0.0055,2.7608,10.2631,0
gemini-2.5-flash,few-shot,CWE-330,0.3208,204,195,80,14,0.5761,0.5113,0.9358,0.6613,1297.7424,3256.5030,7.8742,0.0086,4.2153,15.9790,0
gemini-2.5-flash,few-shot,CWE-90,1.0000,27,7,25,0,0.8814,0.7941,1.0000,0.8852,1317.3559,1846.5932,6.6102,0.0050,0.2967,8.9661,0
gemini-2.5-flash,few-shot,CWE-79,1.0000,246,30,179,0,0.9341,0.8913,1.0000,0.9425,831.1714,1994.7824,8.9055,0.0053,2.3926,9.7807,0
gemini-2.5-flash,few-shot,CWE-614,1.0000,34,0,31,2,0.9701,1.0000,0.9444,0.9714,1065.4179,3395.4776,5.4478,0.0088,0.5911,17.5862,0
gemini-2.5-flash,few-shot,CWE-643,1.0000,15,2,18,0,0.9429,0.8824,1.0000,0.9375,1230.9714,2020.9429,4.0286,0.0054,0.1901,9.5274,0
gemini-2.5-flash,few-shot,all,0.7625,1200,400,882,132,0.7965,0.7500,0.9009,0.8186,1128.3902,2679.8546,7.9430,0.0071,18.4496,13.2704,0
gemini-2.5-flash,zero-shot,CWE-22,1.0000,122,19,116,11,0.8881,0.8652,0.9173,0.8905,739.8097,2539.6343,4.9739,0.0066,1.7644,12.6847,0
gemini-2.5-flash,zero-shot,CWE-328,0.0000,72,22,85,57,0.6653,0.7660,0.5581,0.6457,1041.7076,3889.9873,9.2924,0.0101,2.3743,19.7126,0
gemini-2.5-flash,zero-shot,CWE-327,1.0000,66,34,82,64,0.6016,0.6600,0.5077,0.5739,1261.3049,3916.5894,13.8496,0.0102,2.5103,20.1886,0
gemini-2.5-flash,zero-shot,CWE-78,1.0000,126,44,81,0,0.8247,0.7412,1.0000,0.8514,711.5618,2658.9283,4.1195,0.0069,1.7246,13.1947,0
gemini-2.5-flash,zero-shot,CWE-89,1.0000,272,37,195,0,0.9266,0.8803,1.0000,0.9363,712.9266,2211.1865,8.0933,0.0058,2.9041,11.1618,0
gemini-2.5-flash,zero-shot,CWE-330,0.3552,197,169,106,21,0.6146,0.5383,0.9037,0.6747,1000.6897,3535.9128,7.5923,0.0092,4.5154,17.6488,0
gemini-2.5-flash,zero-shot,CWE-90,1.0000,27,7,25,0,0.8814,0.7941,1.0000,0.8852,1020.3559,2130.4407,6.6271,0.0056,0.3333,10.5799,0
gemini-2.5-flash,zero-shot,CWE-79,1.0000,245,29,180,1,0.9341,0.8942,0.9959,0.9423,533.7714,2009.3692,3.9758,0.0052,2.3630,9.8620,0
gemini-2.5-flash,zero-shot,CWE-614,1.0000,27,0,31,9,0.8657,1.0000,0.7500,0.8571,768.0299,4027.5970,5.1642,0.0103,0.6909,21.1723,0
gemini-2.5-flash,zero-shot,CWE-643,1.0000,15,3,17,0,0.9143,0.8333,1.0000,0.9091,933.9714,2570.4286,4.7714,0.0067,0.2351,12.6699,0
gemini-2.5-flash,zero-shot,all,0.7847,1169,364,918,163,0.7984,0.7626,0.8776,0.8161,831.2410,2864.1725,7.0780,0.0074,19.4155,14.3955,0
gemini-2.5-pro,few-shot,CWE-22,1.0000,130,13,122,3,0.9403,0.9091,0.9774,0.9420,1036.8097,2463.4216,5.0784,0.0260,6.9629,22.5324,0
gemini-2.5-pro,few-shot,CWE-328,0.5360,95,30,77,34,0.7288,0.7600,0.7364,0.7480,1338.7076,5473.7627,12.0720,0.0565,13.3415,50.3180,0
gemini-2.5-pro,few-shot,CWE-327,1.0000,101,31,85,29,0.7561,0.7652,0.7769,0.7710,1558.3049,4495.7846,13.6626,0.0470,11.5724,41.8635,0
gemini-2.5-pro,few-shot,CWE-78,1.0000,126,30,95,0,0.8805,0.8077,1.0000,0.8936,1008.5618,2445.1912,4.2829,0.0258,6.4646,22.2741,0
gemini-2.5-pro,few-shot,CWE-89,1.0000,272,39,193,0,0.9226,0.8746,1.0000,0.9331,1009.9266,2707.1548,7.4563,0.0284,14.3179,25.0406,0
gemini-2.5-pro,few-shot,CWE-330,0.1681,218,240,35,0,0.5132,0.4760,1.0000,0.6450,1297.6897,2992.0933,12.1318,0.0317,15.6105,27.6390,0
gemini-2.5-pro,few-shot,CWE-90,1.0000,27,6,26,0,0.8983,0.8182,1.0000,0.9000,1317.3559,2625.0339,7.0508,0.0280,1.6501,24.0549,0
gemini-2.5-pro,few-shot,CWE-79,1.0000,245,32,177,1,0.9275,0.8845,0.9959,0.9369,830.7714,1732.0681,4.3363,0.0184,8.3731,16.0860,0
gemini-2.5-pro,few-shot,CWE-614,1.0000,36,0,31,0,1.0000,1.0000,1.0000,1.0000,1065.0299,3740.8060,9.3881,0.0388,2.6018,34.8937,0
gemini-2.5-pro,few-shot,CWE-643,1.0000,15,3,17,0,0.9143,0.8333,1.0000,0.9091,1230.9714,2657.2000,5.2571,0.0282,0.9857,24.1799,0
gemini-2.5-pro,few-shot,all,0.7401,1265,424,858,67,0.8122,0.7490,0.9497,0.8375,1128.2410,2983.0998,8.2582,0.0313,81.8806,27.5333,0
gemini-2.5-pro,zero-shot,CWE-22,1.0000,132,11,124,1,0.9552,0.9231,0.9925,0.9565,739.8097,2449.9888,5.2687,0.0255,6.8279,22.7603,0
gemini-2.5-pro,zero-shot,CWE-328,0.0174,88,27,80,41,0.7119,0.7652,0.6822,0.7213,1041.7076,4209.6992,13.8263,0.0435,10.2748,39.2705,0
gemini-2.5-pro,zero-shot,CWE-327,1.0000,113,28,88,17,0.8171,0.8014,0.8692,0.8339,1261.3049,3901.3415,13.7114,0.0407,10.0189,36.6514,0
gemini-2.5-pro,zero-shot,CWE-78,1.0000,126,22,103,0,0.9124,0.8514,1.0000,0.9197,711.5618,2257.9363,4.7530,0.0235,5.9026,21.0134,0
gemini-2.5-pro,zero-shot,CWE-89,1.0000,272,31,201,0,0.9385,0.8977,1.0000,0.9461,712.9266,2462.4385,7.7063,0.0256,12.8987,23.1082,0
gemini-2.5-pro,zero-shot,CWE-330,0.2167,217,189,86,1,0.6146,0.5345,0.9954,0.6955,1000.6897,2845.6268,11.8783,0.0298,14.7042,26.7572,0
gemini-2.5-pro,zero-shot,CWE-90,1.0000,27,5,27,0,0.9153,0.8438,1.0000,0.9153,1020.3559,2468.3898,6.9661,0.0260,1.5357,23.0267,0
gemini-2.5-pro,zero-shot,CWE-79,0.9964,246,31,178,0,0.9319,0.8881,1.0000,0.9407,533.7714,1719.3407,4.1538,0.0179,8.1455,15.8924,0
gemini-2.5-pro,zero-shot,CWE-614,1.0000,31,0,31,5,0.9254,1.0000,0.8611,0.9254,768.0299,3009.7164,9.8507,0.0312,2.0874,28.6693,0
gemini-2.5-pro,zero-shot,CWE-643,1.0000,15,1,19,0,0.9714,0.9375,1.0000,0.9677,933.9714,2272.7143,5.3143,0.0239,0.8382,20.9615,0
gemini-2.5-pro,zero-shot,all,0.7320,1267,345,937,65,0.8432,0.7860,0.9512,0.8607,831.2410,2689.2318,8.4652,0.0280,73.2339,25.1493,0
gpt-4.1-mini,cot,CWE-22,1.0000,127,12,123,6,0.9328,0.9137,0.9549,0.9338,649.8619,0.0000,729.5187,0.0014,0.3825,14.6795,0
gpt-4.1-mini,cot,CWE-328,0.0000,66,9,98,63,0.6949,0.8800,0.5116,0.6471,889.4619,0.0000,1205.5000,0.0023,0.5392,22.1454,0
gpt-4.1-mini,cot,CWE-327,1.0000,127,7,109,3,0.9593,0.9478,0.9769,0.9621,1070.8252,0.0000,1117.0447,0.0022,0.5450,19.3681,1
gpt-4.1-mini,cot,CWE-78,0.9098,117,16,109,9,0.9004,0.8797,0.9286,0.9035,628.3347,0.0000,791.6653,0.0015,0.3810,14.3097,1
gpt-4.1-mini,cot,CWE-89,1.0000,272,37,195,0,0.9266,0.8803,1.0000,0.9363,626.3095,0.0000,692.5595,0.0014,0.6847,12.8691,0
gpt-4.1-mini,cot,CWE-330,0.9965,217,66,209,1,0.8641,0.7668,0.9954,0.8663,876.3813,0.0000,1209.5132,0.0023,1.1269,19.6551,0
gpt-4.1-mini,cot,CWE-90,1.0000,27,6,26,0,0.8983,0.8182,1.0000,0.9000,860.2712,0.0000,843.3220,0.0017,0.0999,13.4576,0
gpt-4.1-mini,cot,CWE-79,1.0000,241,30,179,5,0.9231,0.8893,0.9797,0.9323,486.9231,0.0000,618.0527,0.0012,0.5386,13.5836,0
gpt-4.1-mini,cot,CWE-614,1.0000,34,2,29,2,0.9403,0.9444,0.9444,0.9444,683.5373,0.0000,1035.0597,0.0019,0.1293,18.0022,0
gpt-4.1-mini,cot,CWE-643,1.0000,15,2,18,0,0.9429,0.8824,1.0000,0.9375,800.1429,0.0000,771.7714,0.0016,0.0544,12.2241,0
gpt-4.1-mini,cot,all,0.9385,1243,187,1095,89,0.8944,0.8692,0.9332,0.9001,726.4862,0.0000,889.8933,0.0017,4.4815,16.1826,2
gpt-4.1-mini,few-shot,CWE-22,1.0000,131,79,56,2,0.6978,0.6238,0.9850,0.7638,874.8619,0.0000,4.8358,0.0004,0.0959,3.2305,0
gpt-4.1-mini,few-shot,CWE-328,0.0000,58,31,76,71,0.5678,0.6517,0.4496,0.5321,1114.4619,0.0000,8.7585,0.0005,0.1085,3.2066,0
gpt-4.1-mini,few-shot,CWE-327,1.0000,128,66,50,2,0.7236,0.6598,0.9846,0.7901,1295.8252,0.0000,51.5000,0.0006,0.1478,3.7742,0
gpt-4.1-mini,few-shot,CWE-78,1.0000,126,87,38,0,0.6534,0.5915,1.0000,0.7434,853.3347,0.0000,4.6972,0.0003,0.0876,3.1319,0
gpt-4.1-mini,few-shot,CWE-89,1.0000,256,153,79,16,0.6647,0.6259,0.9412,0.7518,851.3095,0.0000,5.0198,0.0003,0.1757,3.1615,0
gpt-4.1-mini,few-shot,CWE-330,1.0000,90,0,275,128,0.7404,1.0000,0.4128,0.5844,1101.3813,0.0000,4.1318,0.0004,0.2205,3.0949,0
gpt-4.1-mini,few-shot,CWE-90,1.0000,27,18,14,0,0.6949,0.6000,1.0000,0.7500,1085.2712,0.0000,4.7288,0.0004,0.0261,3.2464,0
gpt-4.1-mini,few-shot,CWE-79,0.7066,233,118,91,13,0.7121,0.6638,0.9472,0.7806,711.9231,0.0000,5.0352,0.0003,0.1332,3.2100,0
gpt-4.1-mini,few-shot,CWE-614,1.0000,18,5,26,18,0.6567,0.7826,0.5000,0.6102,908.5373,0.0000,6.9851,0.0004,0.0251,3.0850,0
gpt-4.1-mini,few-shot,CWE-643,1.0000,15,14,6,0,0.6000,0.5172,1.0000,0.6818,1025.1429,0.0000,4.7714,0.0004,0.0146,3.1375,0
gpt-4.1-mini,few-shot,all,0.8838,1082,571,711,250,0.6859,0.6546,0.8123,0.7250,951.4862,0.0000,9.5574,0.0004,1.0348,3.2230,0
gpt-4.1-mini,zero-shot,CWE-22,1.0000,123,71,64,10,0.6978,0.6340,0.9248,0.7523,619.8619,0.0000,5.8507,0.0003,0.0690,2.8358,0
gpt-4.1-mini,zero-shot,CWE-328,0.0000,18,21,86,111,0.4407,0.4615,0.1395,0.2143,859.4619,0.0000,12.7797,0.0004,0.0860,3.0566,0
gpt-4.1-mini,zero-shot,CWE-327,1.0000,125,59,57,5,0.7398,0.6793,0.9615,0.7962,1040.8252,0.0000,14.2195,0.0004,0.1080,2.8846,0
gpt-4.1-mini,zero-shot,CWE-78,1.0000,126,91,34,0,0.6375,0.5806,1.0000,0.7347,598.3347,0.0000,5.0637,0.0002,0.0621,2.9015,0
gpt-4.1-mini,zero-shot,CWE-89,1.0000,260,159,73,12,0.6607,0.6205,0.9559,0.7525,596.3095,0.0000,4.9206,0.0002,0.1242,2.8362,0
gpt-4.1-mini,zero-shot,CWE-330,1.0000,85,4,271,133,0.7221,0.9551,0.3899,0.5537,846.3813,0.0000,47.6673,0.0004,0.2045,3.3428,0
gpt-4.1-mini,zero-shot,CWE-90,1.0000,27,15,17,0,0.7458,0.6429,1.0000,0.7826,830.2712,0.0000,5.1017,0.0003,0.0201,3.1287,0
gpt-4.1-mini,zero-shot,CWE-79,0.8866,242,146,63,4,0.6703,0.6237,0.9837,0.7634,456.9231,0.0000,5.6505,0.0002,0.0873,2.9181,0
gpt-4.1-mini,zero-shot,CWE-614,1.0000,25,6,25,11,0.7463,0.8065,0.6944,0.7463,653.5373,0.0000,9.0597,0.0003,0.0185,2.7771,0
gpt-4.1-mini,zero-shot,CWE-643,1.0000,15,12,8,0,0.6571,0.5556,1.0000,0.7143,770.1429,0.0000,4.8857,0.0003,0.0111,2.8183,0
gpt-4.1-mini,zero-shot,all,0.9491,1046,584,698,286,0.6672,0.6417,0.7853,0.7063,696.4862,0.0000,14.9132,0.0003,0.7906,2.9815,0
gpt-4.1,cot,CWE-22,0.9937,128,31,104,5,0.8657,0.8050,0.9624,0.8767,649.8619,0.0000,518.0261,0.0054,1.4590,8.3895,0
gpt-4.1,cot,CWE-328,0.0244,79,3,104,50,0.7754,0.9634,0.6124,0.7488,889.4619,0.0000,830.0127,0.0084,1.9869,11.6841,0
gpt-4.1,cot,CWE-327,1.0000,128,28,88,2,0.8780,0.8205,0.9846,0.8951,1070.8252,0.0000,755.1138,0.0082,2.0129,10.6875,0
gpt-4.1,cot,CWE-78,1.0000,122,23,102,4,0.8924,0.8414,0.9683,0.9004,628.3347,0.0000,550.7490,0.0057,1.4213,8.0318,0
gpt-4.1,cot,CWE-89,1.0000,272,65,167,0,0.8710,0.8071,1.0000,0.8933,626.3095,0.0000,510.4861,0.0053,2.6896,8.1125,0
gpt-4.1,cot,CWE-330,0.6071,218,90,185,0,0.8174,0.7078,1.0000,0.8289,876.3813,0.0000,743.5619,0.0077,3.7967,11.7340,0
gpt-4.1,cot,CWE-90,1.0000,27,11,21,0,0.8136,0.7105,1.0000,0.8308,860.2712,0.0000,594.9661,0.0065,0.3823,8.1504,0
gpt-4.1,cot,CWE-79,1.0000,241,43,166,5,0.8945,0.8486,0.9797,0.9094,486.9231,0.0000,516.5736,0.0051,2.3234,8.0529,0
gpt-4.1,cot,CWE-614,1.0000,36,0,31,0,1.0000,1.0000,1.0000,1.0000,683.5373,0.0000,708.3134,0.0070,0.4712,9.9879,0
gpt-4.1,cot,CWE-643,1.0000,15,5,15,0,0.8571,0.7500,1.0000,0.8571,800.1429,0.0000,633.3143,0.0067,0.2333,8.8829,0
gpt-4.1,cot,all,0.8709,1266,299,983,66,0.8604,0.8089,0.9505,0.8740,726.4862,0.0000,620.6343,0.0064,16.7768,9.4298,0
gpt-4.1,few-shot,CWE-22,1.0000,133,106,29,0,0.6045,0.5565,1.0000,0.7151,874.8619,0.0000,4.9179,0.0018,0.4795,3.6071,0
gpt-4.1,few-shot,CWE-328,0.2921,87,2,105,42,0.8136,0.9775,0.6744,0.7982,1114.4619,0.0000,9.2797,0.0023,0.5435,3.4326,0
gpt-4.1,few-shot,CWE-327,1.0000,130,28,88,0,0.8862,0.8228,1.0000,0.9028,1295.8252,0.0000,9.2195,0.0027,0.6557,3.4449,0
gpt-4.1,few-shot,CWE-78,1.0000,126,99,26,0,0.6056,0.5600,1.0000,0.7179,853.3347,0.0000,4.8884,0.0017,0.4382,3.0493,0
gpt-4.1,few-shot,CWE-89,1.0000,272,220,12,0,0.5635,0.5528,1.0000,0.7120,851.3095,0.0000,5.2222,0.0017,0.8792,3.3053,0
gpt-4.1,few-shot,CWE-330,0.9573,200,34,241,18,0.8945,0.8547,0.9174,0.8850,1101.3813,0.0000,9.3529,0.0023,1.1228,3.2143,0
gpt-4.1,few-shot,CWE-90,1.0000,27,23,9,0,0.6102,0.5400,1.0000,0.7013,1085.2712,0.0000,7.0678,0.0022,0.1314,3.5771,0
gpt-4.1,few-shot,CWE-79,1.0000,245,114,95,1,0.7473,0.6825,0.9959,0.8099,711.9231,0.0000,7.3099,0.0015,0.6745,2.9059,0
gpt-4.1,few-shot,CWE-614,1.0000,36,0,31,0,1.0000,1.0000,1.0000,1.0000,908.5373,0.0000,6.5821,0.0019,0.1253,3.0148,0
gpt-4.1,few-shot,CWE-643,1.0000,15,15,5,0,0.5714,0.5000,1.0000,0.6667,1025.1429,0.0000,5.1714,0.0021,0.0732,3.1839,0
gpt-4.1,few-shot,all,0.9618,1271,641,641,61,0.7314,0.6647,0.9542,0.7836,951.4862,0.0000,7.1197,0.0020,5.1233,3.2467,0
gpt-4.1,zero-shot,CWE-22,1.0000,133,86,49,0,0.6791,0.6073,1.0000,0.7557,619.8619,0.0000,6.0597,0.0013,0.3452,3.2310,0
gpt-4.1,zero-shot,CWE-328,0.0000,76,7,100,53,0.7458,0.9157,0.5891,0.7170,859.4619,0.0000,11.4153,0.0018,0.4272,3.2419,0
gpt-4.1,zero-shot,CWE-327,1.0000,126,28,88,4,0.8699,0.8182,0.9692,0.8873,1040.8252,0.0000,10.3496,0.0022,0.5325,3.2058,0
gpt-4.1,zero-shot,CWE-78,1.0000,126,93,32,0,0.6295,0.5753,1.0000,0.7304,598.3347,0.0000,4.8088,0.0012,0.3100,3.2347,0
gpt-4.1,zero-shot,CWE-89,1.0000,272,169,63,0,0.6647,0.6168,1.0000,0.7630,596.3095,0.0000,5.5357,0.0012,0.6234,3.2264,0
gpt-4.1,zero-shot,CWE-330,0.7992,216,23,252,2,0.9493,0.9038,0.9908,0.9453,846.3813,0.0000,8.0913,0.0018,0.8664,3.2524,0
gpt-4.1,zero-shot,CWE-90,1.0000,27,21,11,0,0.6441,0.5625,1.0000,0.7200,830.2712,0.0000,7.9153,0.0017,0.1017,3.2386,0
gpt-4.1,zero-shot,CWE-79,1.0000,243,123,86,3,0.7231,0.6639,0.9878,0.7941,456.9231,0.0000,8.4945,0.0010,0.4467,3.3143,0
gpt-4.1,zero-shot,CWE-614,1.0000,36,0,31,0,1.0000,1.0000,1.0000,1.0000,653.5373,0.0000,7.2687,0.0014,0.0915,3.2142,0
gpt-4.1,zero-shot,CWE-643,1.0000,15,14,6,0,0.6000,0.5172,1.0000,0.6818,770.1429,0.0000,5.7429,0.0016,0.0555,3.3550,0
gpt-4.1,zero-shot,all,0.9286,1270,564,718,62,0.7605,0.6925,0.9535,0.8023,696.4862,0.0000,7.6014,0.0015,3.8002,3.2490,0
gpt-5-mini,few-shot,CWE-22,1.0000,124,9,126,9,0.9328,0.9323,0.9323,0.9323,873.8619,964.7761,15.6269,0.0022,0.5840,9.4140,0
gpt-5-mini,few-shot,CWE-328,0.7538,101,29,78,28,0.7585,0.7769,0.7829,0.7799,1113.4619,2149.9661,16.4407,0.0046,1.0882,20.5636,0
gpt-5-mini,few-shot,CWE-327,0.9750,130,30,86,0,0.8780,0.8125,1.0000,0.8966,1294.8252,2089.6260,19.0935,0.0045,1.1171,20.0075,0
gpt-5-mini,few-shot,CWE-78,1.0000,124,19,106,2,0.9163,0.8671,0.9841,0.9219,852.3347,862.3426,14.4064,0.0020,0.4936,8.0663,0
gpt-5-mini,few-shot,CWE-89,1.0000,272,37,195,0,0.9266,0.8803,1.0000,0.9363,850.3095,1004.3175,15.6806,0.0023,1.1353,9.8581,0
gpt-5-mini,few-shot,CWE-330,0.6959,215,104,171,3,0.7830,0.6740,0.9862,0.8007,1100.3813,1846.0041,16.0974,0.0040,1.9717,16.1232,0
gpt-5-mini,few-shot,CWE-90,1.0000,27,6,26,0,0.8983,0.8182,1.0000,0.9000,1084.2712,929.6271,16.9153,0.0022,0.1277,8.6387,0
gpt-5-mini,few-shot,CWE-79,1.0000,246,27,182,0,0.9407,0.9011,1.0000,0.9480,710.9231,686.8396,14.0418,0.0016,0.7187,7.0231,0
gpt-5-mini,few-shot,CWE-614,1.0000,33,1,30,3,0.9403,0.9706,0.9167,0.9429,907.5373,1514.0299,16.1194,0.0033,0.2202,15.1106,0
gpt-5-mini,few-shot,CWE-643,1.0000,15,1,19,0,0.9714,0.9375,1.0000,0.9677,1024.1429,1139.2000,13.4000,0.0026,0.0896,20.1517,0
gpt-5-mini,few-shot,all,0.9142,1287,263,1019,45,0.8822,0.8303,0.9662,0.8931,950.4862,1308.8661,15.7445,0.0029,7.5462,12.4952,0
gpt-5-mini,zero-shot,CWE-22,1.0000,125,10,125,8,0.9328,0.9259,0.9398,0.9328,618.8619,1033.0746,16.7015,0.0023,0.6041,12.7824,0
gpt-5-mini,zero-shot,CWE-328,0.0000,107,50,57,22,0.6949,0.6815,0.8295,0.7483,858.4619,2066.7119,18.4703,0.0044,1.0349,21.7078,0
gpt-5-mini,zero-shot,CWE-327,1.0000,129,30,86,1,0.8740,0.8113,0.9923,0.8927,1039.8252,2031.3496,19.7846,0.0044,1.0731,21.8925,0
gpt-5-mini,zero-shot,CWE-78,1.0000,119,17,108,7,0.9044,0.8750,0.9444,0.9084,597.3347,937.0518,14.8008,0.0021,0.5153,11.9669,0
